BGRI11,BGRI11_M1LABELS_LP_AdjMatGeoNetDist
01050100601,5.0
01050100310,79.0
01050400112,117.0
01051000405,65.0
01050400811,96.0
01051000403,39.0
01050100504,1.0
01100200610,81.0
01050100414,5.0
01050100309,1.0
01050100413,5.0
01050400111,117.0
01050700212,74.0
01050700211,74.0
01050700210,74.0
01050700209,74.0
01050700208,74.0
01050700118,74.0
01050700207,94.0
01050700206,94.0
01050700205,74.0
01100400301,79.0
01051000113,100.0
01051000307,21.0
01051000401,65.0
01050100406,5.0
01050400107,117.0
01100200201,81.0
01051000206,13.0
01050100502,1.0
01050400807,116.0
01100200603,81.0
01100400401,79.0
01051000309,21.0
01100400207,131.0
01100400211,131.0
01100200806,119.0
01100200805,119.0
01100200804,119.0
01051000501,21.0
01100200208,81.0
01050300102,115.0
01050100315,79.0
01050100606,5.0
01100200207,81.0
01050100605,5.0
01050100604,5.0
01050400801,116.0
01051301009,11.0
01100302313,50.0
01100302404,50.0
01050601901,30.0
01050400503,116.0
01050601107,64.0
01100302207,50.0
01050601804,30.0
01100302206,50.0
01050601803,30.0
01050601603,30.0
01051301002,130.0
01100302302,118.0
01100302012,118.0
01100302110,50.0
01100301707,50.0
01100301706,50.0
01050601207,29.0
01051300710,130.0
01100301907,50.0
01050601102,64.0
01051301001,11.0
01051300608,67.0
01100302109,55.0
01051300711,130.0
01100302301,118.0
01100302201,50.0
01050400408,11.0
01050601305,24.0
01100302011,118.0
01100301705,50.0
01050400701,128.0
01050601401,24.0
01051300607,67.0
01100302108,50.0
01050601304,24.0
01100302010,118.0
01100302009,118.0
01100301013,50.0
01100301304,48.0
01050600603,111.0
01100300210,50.0
01050600103,22.0
01100301606,118.0
01050600702,104.0
01050600507,104.0
01050400306,9.0
01051300412,90.0
01051201812,45.0
01050400305,90.0
01051300507,66.0
01100301701,50.0
01051201811,45.0
01100301303,48.0
01051201810,45.0
01100301206,48.0
01050600602,111.0
01051300506,66.0
01100301404,122.0
01051201809,45.0
01100301502,49.0
01100300209,50.0
01050600601,31.0
01051300411,90.0
01100301605,118.0
01100301012,48.0
01100301403,122.0
01051300505,66.0
01051201808,45.0
01051300504,66.0
01100301402,122.0
01100301205,55.0
01050600102,80.0
01100301604,48.0
01051300405,90.0
01051201707,45.0
01050600308,111.0
01051201807,45.0
01051201806,45.0
01050600307,111.0
01100301104,122.0
01051300104,66.0
01050500904,83.0
01050400113,128.0
01050501105,101.0
01050500509,17.0
01050501201,18.0
01050500508,16.0
01050500507,84.0
01050500506,17.0
01051300702,90.0
01050400209,10.0
01051300404,90.0
01100301011,48.0
01051200909,45.0
01050400304,16.0
01051201805,45.0
01051300701,90.0
01050600209,80.0
01050600412,111.0
01100300208,50.0
01100300906,122.0
01050600506,103.0
01051300503,66.0
01050600505,26.0
01051201804,45.0
01051300103,66.0
01100301010,48.0
01051300403,90.0
01050400201,128.0
01051300410,90.0
01051300210,66.0
01050600306,111.0
01051300303,64.0
01050600411,31.0
01050700204,74.0
01050700203,94.0
01100301603,48.0
01050600208,22.0
01050400303,16.0
01100301302,48.0
01050400302,9.0
01100301602,48.0
01050600305,103.0
01051201706,45.0
